,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
3221,D,0.8947368421052632,0.6842105263157895,L,L,W,W,D,D,-0.7894736842105263,-0.8947368421052632,-0.10526315789473684,1.0
3222,H,1.0526315789473684,0.8421052631578947,L,D,D,W,L,L,-0.3684210526315789,-0.8421052631578947,-0.05263157894736842,6.0
3223,H,2.0,0.8421052631578947,W,W,W,W,L,L,1.6842105263157894,-0.7894736842105263,0.3157894736842105,-16.0
3224,A,1.0,1.631578947368421,L,D,D,W,W,W,-0.7894736842105263,0.47368421052631576,-0.3684210526315789,10.0
3225,D,0.7368421052631579,0.8947368421052632,L,L,D,D,D,L,-0.5263157894736842,-0.2631578947368421,-0.05263157894736842,2.0
3226,H,1.9473684210526316,1.894736842105263,W,D,W,L,W,W,0.7894736842105263,1.1578947368421053,0.05263157894736842,-4.0
3227,H,1.7894736842105263,1.4210526315789473,L,W,W,W,L,D,0.631578947368421,0.3684210526315789,0.10526315789473684,-8.0
3228,A,1.736842105263158,2.0526315789473686,W,W,D,W,D,L,0.3157894736842105,0.9473684210526315,0.15789473684210525,12.0
3229,H,1.631578947368421,1.105263157894737,D,W,L,L,W,D,-0.2631578947368421,-0.42105263157894735,0.0,-8.0
3230,H,2.1,0.9,W,W,D,D,L,L,0.95,-0.75,0.3,-14.0
3231,D,0.8,0.95,L,W,L,L,L,D,-0.8,-0.8,0.1,7.0
3232,H,0.8,0.75,L,W,L,D,L,L,-1.1,-0.5,0.1,2.0
3233,H,1.8,1.15,L,L,W,W,L,D,1.05,-0.05,-0.05,-11.0
3234,A,1.7,1.7,W,W,W,W,D,W,0.5,-0.1,0.1,-4.0
3235,A,1.35,2.0,L,W,L,W,W,D,0.3,0.8,-0.2,11.0
3236,D,1.05,1.85,L,L,W,W,L,W,-0.55,0.65,-0.15,7.0
3237,A,0.7,1.0,D,W,D,D,L,L,-0.85,-0.35,0.2,2.0
3238,A,1.05,2.05,D,L,L,W,W,W,-0.05,1.65,-0.4,7.0
3239,H,0.9,1.65,D,D,D,L,W,W,-0.25,0.25,-0.15,-8.0
3240,A,0.8571428571428571,0.7142857142857143,L,D,L,L,D,L,-0.8095238095238095,-0.5238095238095238,0.0,8.0
3241,H,1.8095238095238095,0.9523809523809523,D,W,L,D,L,L,0.6190476190476191,-0.7619047619047619,0.14285714285714285,-5.0
3242,A,0.9047619047619048,0.6666666666666666,W,L,W,L,D,W,-1.0,-0.8571428571428571,0.09523809523809523,-5.0
3243,A,1.0952380952380953,2.0476190476190474,L,W,L,W,W,W,-0.14285714285714285,0.9047619047619048,-0.2857142857142857,15.0
3244,H,1.619047619047619,1.0,L,W,W,L,D,L,0.42857142857142855,-0.09523809523809523,0.23809523809523808,-8.0
3245,H,1.2857142857142858,1.0,L,L,W,W,D,D,0.14285714285714285,-0.19047619047619047,-0.09523809523809523,6.0
3246,H,1.7619047619047619,0.8095238095238095,W,W,D,D,L,W,-0.047619047619047616,-0.7619047619047619,0.14285714285714285,-13.0
3247,A,1.5714285714285714,2.0952380952380953,L,L,W,W,W,W,0.19047619047619047,1.619047619047619,-0.2857142857142857,14.0
3248,A,1.0476190476190477,1.8571428571428572,D,L,L,W,L,L,-0.5238095238095238,1.0952380952380953,-0.09523809523809523,6.0
3249,A,1.0952380952380953,2.142857142857143,W,D,L,W,W,W,-0.2857142857142857,1.0,-0.23809523809523808,11.0
3250,H,2.1818181818181817,0.8636363636363636,W,W,W,L,W,L,1.0,-1.0909090909090908,0.2727272727272727,-8.0
3251,H,0.7727272727272727,1.0,L,D,L,L,D,L,-0.8181818181818182,-0.5909090909090909,0.0,5.0
3252,D,1.9090909090909092,1.0454545454545454,W,W,L,L,W,D,1.1363636363636365,-0.3181818181818182,0.09090909090909091,-8.0
3253,H,2.1363636363636362,0.8181818181818182,W,W,W,L,L,D,1.6363636363636365,-0.8636363636363636,0.36363636363636365,-16.0
3254,H,0.9090909090909091,1.0454545454545454,L,D,L,L,L,W,-0.8181818181818182,-0.22727272727272727,-0.09090909090909091,-7.0
3255,D,0.7727272727272727,1.3636363636363635,W,L,D,W,L,L,-0.6818181818181818,0.18181818181818182,0.045454545454545456,3.0
3256,A,0.8181818181818182,1.5,W,L,D,L,L,L,-0.4090909090909091,0.09090909090909091,0.18181818181818182,-6.0
3257,H,2.090909090909091,1.6818181818181819,W,W,W,W,L,W,0.9545454545454546,0.5,0.13636363636363635,2.0
3258,A,0.9545454545454546,1.8181818181818181,L,L,D,W,W,W,-0.18181818181818182,0.045454545454545456,-0.36363636363636365,4.0
3259,D,0.9545454545454546,1.8636363636363635,L,W,D,W,D,W,-0.22727272727272727,0.6818181818181818,-0.13636363636363635,2.0
3260,H,0.8695652173913043,1.0,W,L,D,L,L,L,-0.7391304347826086,-0.2608695652173913,0.17391304347826086,0.0
3261,H,1.8695652173913044,1.826086956521739,D,W,W,D,W,D,1.0869565217391304,0.6521739130434783,0.08695652173913043,1.0
3262,H,1.608695652173913,0.782608695652174,L,W,L,L,L,L,0.391304347826087,-0.9130434782608695,0.13043478260869565,-17.0
3263,D,1.0,1.565217391304348,W,L,D,W,L,L,-0.7391304347826086,0.17391304347826086,0.043478260869565216,-5.0
3264,D,1.3478260869565217,2.217391304347826,D,W,L,W,W,W,0.17391304347826086,1.0434782608695652,-0.21739130434782608,10.0
3265,H,0.9130434782608695,0.8260869565217391,L,L,L,L,L,W,-0.2608695652173913,-1.1304347826086956,-0.13043478260869565,-3.0
3266,H,1.0434782608695652,0.9565217391304348,D,L,W,D,L,W,-0.30434782608695654,-0.21739130434782608,0.0,7.0
3267,D,2.130434782608696,0.782608695652174,W,W,W,L,W,L,1.0,-0.4782608695652174,0.2608695652173913,-7.0
3268,H,0.782608695652174,0.9565217391304348,D,W,L,L,L,D,-0.6521739130434783,-0.6086956521739131,0.13043478260869565,4.0
3269,A,1.8695652173913044,2.1739130434782608,W,W,W,W,W,W,0.13043478260869565,1.6521739130434783,0.0,3.0
3270,H,0.75,1.0,L,L,L,D,W,L,-0.9583333333333334,-0.7083333333333334,-0.16666666666666666,7.0
3271,H,1.75,1.125,L,D,W,W,D,L,0.4583333333333333,-0.25,0.0,-9.0
3272,A,0.7916666666666666,1.3333333333333333,L,L,L,D,D,W,-1.1666666666666667,0.16666666666666666,-0.20833333333333334,-2.0
3273,D,0.9583333333333334,1.7916666666666667,L,L,L,L,W,W,-0.2916666666666667,-0.041666666666666664,-0.25,13.0
3274,A,1.5416666666666667,0.875,D,W,L,W,D,W,0.16666666666666666,-0.5833333333333334,-0.125,-1.0
3275,H,0.9166666666666666,1.6666666666666667,L,L,L,W,L,W,-0.625,0.4583333333333333,-0.25,12.0
3276,H,0.7916666666666666,1.0,D,L,W,W,L,L,-0.4583333333333333,-0.16666666666666666,0.041666666666666664,1.0
3277,H,2.1666666666666665,0.9583333333333334,D,W,W,W,W,L,1.0,-0.6666666666666666,0.041666666666666664,-14.0
3278,D,0.9166666666666666,1.9166666666666667,L,D,L,W,D,W,-0.25,1.2083333333333333,-0.25,1.0
3279,A,2.2083333333333335,2.0833333333333335,W,W,W,D,W,W,1.75,0.9583333333333334,0.08333333333333333,-1.0
3280,A,1.08,0.88,L,W,D,W,D,L,-0.28,-0.36,0.0,5.0
3281,H,2.12,1.48,W,D,W,L,D,W,0.96,0.04,0.12,-13.0
3282,H,0.92,0.92,L,W,W,D,L,D,-0.72,-0.24,0.16,10.0
3283,H,1.88,2.2,D,W,D,W,D,W,1.16,1.04,-0.08,3.0
3284,D,0.96,2.12,L,D,W,L,W,W,-0.72,1.64,-0.08,9.0
3285,D,1.4,1.0,W,D,D,W,L,L,0.28,-0.56,0.08,1.0
3286,A,0.96,0.96,W,W,D,D,L,L,-0.44,-0.28,0.24,-1.0
3287,H,0.96,0.84,L,W,L,W,L,L,-0.24,-0.88,0.0,-9.0
3288,D,1.6,0.76,L,W,L,L,L,L,0.4,-1.24,0.12,-11.0
3289,H,1.76,1.8,D,L,W,W,L,D,-0.04,0.48,0.0,-1.0
3290,D,0.8076923076923077,1.0384615384615385,L,W,L,L,L,W,-0.9615384615384616,-0.34615384615384615,0.0,3.0
3291,A,1.0384615384615385,1.3846153846153846,W,D,L,D,W,D,-0.19230769230769232,0.2692307692307692,-0.038461538461538464,4.0
3292,D,0.8846153846153846,2.1538461538461537,L,D,L,W,W,D,-0.3076923076923077,1.0384615384615385,-0.23076923076923078,5.0
3293,H,0.9615384615384616,0.9615384615384616,W,W,D,D,L,D,-0.2692307692307692,-0.6923076923076923,0.19230769230769232,-1.0
3294,D,2.1153846153846154,1.5769230769230769,L,W,D,D,L,W,0.8461538461538461,0.38461538461538464,0.0,3.0
3295,A,0.7692307692307693,1.9230769230769231,D,L,L,W,D,W,-1.1923076923076923,1.2692307692307692,-0.23076923076923078,5.0
3296,A,1.4230769230769231,1.8076923076923077,L,L,D,W,D,L,-0.07692307692307693,0.0,-0.11538461538461539,11.0
3297,D,1.0,1.0384615384615385,D,W,L,W,L,W,-0.5384615384615384,-0.11538461538461539,-0.07692307692307693,4.0
3298,H,2.1153846153846154,0.9230769230769231,L,W,D,L,W,W,0.8461538461538461,-0.5,-0.07692307692307693,-13.0
3299,A,0.8076923076923077,1.0384615384615385,L,W,L,W,D,L,-0.9615384615384616,-0.19230769230769232,-0.038461538461538464,0.0
3300,H,2.111111111111111,1.6666666666666667,D,W,W,L,L,W,1.0,0.37037037037037035,0.14814814814814814,-3.0
3301,A,0.9629629629629629,1.5555555555555556,L,W,L,D,D,L,-0.6666666666666666,0.37037037037037035,0.037037037037037035,17.0
3302,H,2.111111111111111,1.0,W,D,L,D,D,W,1.5555555555555556,-0.5185185185185185,-0.037037037037037035,-11.0
3303,D,0.8888888888888888,0.7407407407407407,D,L,D,L,D,L,-0.2962962962962963,-1.1851851851851851,0.037037037037037035,-4.0
3304,H,1.037037037037037,1.4444444444444444,W,W,W,W,D,W,-0.18518518518518517,0.2962962962962963,0.07407407407407407,-4.0
3305,H,1.962962962962963,1.037037037037037,W,W,D,D,W,L,1.2592592592592593,-0.1111111111111111,0.1111111111111111,-2.0
3306,H,1.3703703703703705,1.037037037037037,L,L,L,D,L,L,-0.2222222222222222,-0.3333333333333333,-0.037037037037037035,1.0
3307,H,0.9259259259259259,1.8518518518518519,L,D,L,W,W,D,-0.7407407407407407,0.14814814814814814,-0.2222222222222222,6.0
3308,H,1.6666666666666667,1.037037037037037,L,L,W,W,W,W,0.37037037037037035,-0.18518518518518517,-0.2222222222222222,-4.0
3309,A,0.7407407407407407,2.111111111111111,L,D,L,D,W,W,-1.1851851851851851,1.0,-0.2222222222222222,9.0
3310,A,1.0714285714285714,1.4285714285714286,W,L,W,W,L,L,-0.07142857142857142,-0.17857142857142858,0.10714285714285714,2.0
3311,A,1.3928571428571428,2.0,L,W,D,W,W,W,0.21428571428571427,1.25,-0.17857142857142858,7.0
3312,H,0.9642857142857143,2.107142857142857,L,D,D,W,D,L,-0.5357142857142857,0.8928571428571429,-0.07142857142857142,9.0
3313,H,1.0,1.0,L,D,L,W,L,D,-0.35714285714285715,-0.6785714285714286,-0.10714285714285714,4.0
3314,D,1.0,0.9642857142857143,L,D,W,D,L,W,-0.14285714285714285,-0.6428571428571429,0.0,-9.0
3315,H,1.7857142857142858,0.7857142857142857,L,W,W,L,D,L,0.10714285714285714,-1.0357142857142858,0.17857142857142858,-13.0
3316,H,0.7857142857142857,0.75,L,D,L,D,L,D,-1.0357142857142858,-1.1428571428571428,-0.03571428571428571,6.0
3317,H,2.142857142857143,1.7857142857142858,W,D,W,L,W,W,1.0,0.10714285714285714,0.03571428571428571,-2.0
3318,A,0.9642857142857143,1.3928571428571428,D,L,W,L,W,D,-0.6428571428571429,0.21428571428571427,0.0,4.0
3319,D,1.0,0.9642857142857143,W,L,D,L,D,D,-0.6785714285714286,-0.5357142857142857,0.07142857142857142,-2.0
3320,A,0.8620689655172413,1.6551724137931034,L,D,D,W,W,D,-0.3793103448275862,0.5172413793103449,-0.1724137931034483,7.0
3321,H,1.0689655172413792,2.1724137931034484,W,L,D,W,W,D,-0.2413793103448276,1.0344827586206897,-0.10344827586206896,12.0
3322,H,1.7586206896551724,0.7586206896551724,W,W,L,L,L,D,0.41379310344827586,-1.0344827586206897,0.1724137931034483,-12.0
3323,H,0.7241379310344828,1.4827586206896552,L,D,L,W,W,L,-1.1724137931034482,-0.06896551724137931,-0.1724137931034483,-4.0
3324,A,1.0344827586206897,2.1724137931034484,L,W,L,W,W,W,-0.1724137931034483,1.6896551724137931,-0.20689655172413793,16.0
3325,H,1.3448275862068966,0.9655172413793104,L,L,W,L,W,L,0.10344827586206896,-0.7586206896551724,0.0,3.0
3326,H,1.0344827586206897,1.0689655172413792,W,L,D,L,W,W,-0.4827586206896552,-0.13793103448275862,-0.06896551724137931,3.0
3327,D,0.8620689655172413,0.9310344827586207,L,D,L,L,D,L,-0.6206896551724138,-0.6551724137931034,0.0,-1.0
3328,A,1.0,0.8620689655172413,D,L,D,L,D,D,-0.13793103448275862,-0.3793103448275862,0.0,1.0
3329,A,1.6551724137931034,2.0344827586206895,W,W,D,W,W,W,0.5172413793103449,1.3103448275862069,-0.06896551724137931,-6.0
3330,A,1.7666666666666666,2.066666666666667,L,W,L,W,L,W,0.0,0.8333333333333334,-0.1,1.0
3331,A,0.8333333333333334,2.066666666666667,W,L,L,W,W,W,-0.9333333333333333,1.3666666666666667,-0.2,11.0
3332,H,2.2,2.066666666666667,W,W,W,W,L,W,1.1333333333333333,0.8333333333333334,0.1,-1.0
3333,H,1.8,0.9666666666666667,W,W,W,L,D,L,0.43333333333333335,-0.16666666666666666,0.26666666666666666,-3.0
3334,H,1.0,0.9333333333333333,L,L,W,W,L,D,-0.23333333333333334,-0.3333333333333333,-0.03333333333333333,10.0
3335,H,2.2,0.7,W,W,W,L,L,D,1.7333333333333334,-1.2,0.26666666666666666,-10.0
3336,H,1.4333333333333333,0.9333333333333333,L,W,W,D,L,D,-0.1,-0.6333333333333333,0.13333333333333333,-2.0
3337,H,0.9666666666666667,0.8333333333333334,D,L,W,L,L,D,-0.7333333333333333,-0.6333333333333333,0.1,-6.0
3338,A,1.0333333333333334,1.6,L,L,W,L,W,W,-0.2,0.4,-0.1,9.0
3339,A,1.1333333333333333,1.0333333333333334,W,W,L,D,W,L,-0.2,-0.4666666666666667,0.06666666666666667,2.0
3340,H,1.7096774193548387,1.4516129032258065,L,L,W,W,W,L,-0.03225806451612903,0.1935483870967742,-0.0967741935483871,-9.0
3341,D,2.0,0.9354838709677419,L,W,L,L,L,D,0.6129032258064516,-0.1935483870967742,0.06451612903225806,-5.0
3342,A,1.6451612903225807,2.161290322580645,W,L,W,D,W,W,0.45161290322580644,1.6774193548387097,-0.03225806451612903,-1.0
3343,A,1.4838709677419355,1.8387096774193548,W,L,W,W,W,W,-0.06451612903225806,0.5161290322580645,-0.0967741935483871,10.0
3344,H,2.096774193548387,0.8064516129032258,W,W,W,L,L,L,1.4193548387096775,-0.6451612903225806,0.2903225806451613,-10.0
3345,H,1.0,1.064516129032258,L,L,L,W,L,L,-0.25806451612903225,-0.16129032258064516,-0.0967741935483871,-8.0
3346,D,2.0,2.161290322580645,L,W,L,D,W,W,0.6129032258064516,1.6774193548387097,-0.12903225806451613,2.0
3347,H,0.9032258064516129,2.129032258064516,L,D,L,L,W,W,-0.6451612903225806,1.064516129032258,-0.16129032258064516,15.0
3348,H,1.6451612903225807,1.096774193548387,W,L,W,L,W,W,0.45161290322580644,-0.2903225806451613,0.0,-14.0
3349,H,1.4516129032258065,1.4838709677419355,W,W,L,W,L,W,0.1935483870967742,-0.06451612903225806,0.0,-2.0
3350,H,1.15625,1.03125,W,W,D,L,W,L,-0.28125,-0.1875,0.125,-5.0
3351,H,0.9375,1.0,D,L,L,W,L,D,-0.1875,-0.6875,-0.09375,-2.0
3352,D,0.90625,0.78125,D,L,W,L,L,W,-0.375,-1.0,0.03125,-10.0
3353,A,0.75,1.875,L,W,L,W,W,W,-1.25,0.5625,-0.1875,6.0
3354,H,2.125,1.75,W,W,W,W,L,L,1.40625,0.0,0.1875,2.0
3355,A,0.78125,1.0625,L,L,L,W,L,L,-0.75,-0.21875,-0.09375,7.0
3356,A,1.0625,0.75,L,L,W,L,W,L,-0.375,-1.25,0.0,3.0
3357,A,0.78125,0.96875,L,L,W,W,L,D,-1.0,-0.59375,-0.03125,0.0
3358,H,2.15625,1.15625,W,L,W,W,W,D,1.21875,-0.28125,-0.03125,-10.0
3359,H,1.03125,0.9375,L,W,L,D,L,L,-0.1875,-0.1875,0.0625,9.0
3360,H,2.121212121212121,1.4545454545454546,L,W,D,W,L,W,1.6363636363636365,0.2727272727272727,-0.06060606060606061,-12.0
3361,A,1.393939393939394,1.6363636363636365,L,L,W,W,L,W,-0.2727272727272727,0.42424242424242425,-0.09090909090909091,15.0
3362,A,0.9696969696969697,0.9696969696969697,L,W,L,W,D,L,-0.7575757575757576,-0.3333333333333333,-0.030303030303030304,3.0
3363,H,1.9090909090909092,1.9393939393939394,W,W,W,D,D,L,0.6363636363636364,0.5757575757575758,0.21212121212121213,2.0
3364,A,1.121212121212121,2.1515151515151514,W,W,L,W,W,W,-0.18181818181818182,1.4848484848484849,-0.09090909090909091,3.0
3365,H,1.696969696969697,0.7575757575757576,L,W,L,L,L,L,-0.12121212121212122,-0.7575757575757576,0.09090909090909091,-12.0
3366,H,1.0303030303030303,1.0303030303030303,W,W,L,L,L,L,-0.48484848484848486,-0.3939393939393939,0.18181818181818182,3.0
3367,H,0.7272727272727273,0.9696969696969697,L,L,W,L,W,L,-1.2727272727272727,-0.7575757575757576,0.0,1.0
3368,A,1.4545454545454546,0.7878787878787878,W,L,W,D,L,L,0.2727272727272727,-0.9696969696969697,0.15151515151515152,-4.0
3369,H,1.2121212121212122,1.393939393939394,W,W,W,L,L,W,-0.24242424242424243,-0.2727272727272727,0.18181818181818182,-3.0
3370,A,0.7647058823529411,1.9411764705882353,D,L,L,W,W,W,-0.7352941176470589,0.6470588235294118,-0.23529411764705882,11.0
3371,D,0.9705882352941176,1.7352941176470589,D,W,D,W,L,W,-0.3235294117647059,0.0,-0.029411764705882353,3.0
3372,H,2.176470588235294,2.088235294117647,W,W,W,D,L,W,1.4705882352941178,1.588235294117647,0.14705882352941177,5.0
3373,A,0.9705882352941176,2.1176470588235294,L,W,D,W,L,W,-0.11764705882352941,1.2058823529411764,-0.058823529411764705,6.0
3374,H,1.8823529411764706,1.088235294117647,L,D,D,L,W,W,0.47058823529411764,-0.20588235294117646,-0.11764705882352941,-6.0
